Country Name;Country Code;Series Name;Series Code;1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021]
Kuwait;KWT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43.86;45.93;56.47;51.31;44.62;52.09;56.92;63.98;65.55;63.42;66.76;59.43;66.67;73.20;74.73;70.86;68.51;53.77;47.63;51.20;57.50;53.29;;
Kyrgyz Republic;KGZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36.48;42.20;41.85;36.72;39.58;38.68;42.56;38.31;41.72;52.91;53.55;54.70;51.55;54.54;44.40;42.25;37.45;35.19;35.83;34.25;31.60;35.23;31.31;39.31
Lao PDR;LAO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36.46;35.88;30.66;27.87;28.75;23.50;24.91;28.96;38.16;33.61;33.15;30.08;35.38;40.34;37.88;38.17;40.75;33.95;33.21;;;;;
Latvia;LVA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39.24;35.03;36.78;38.00;36.54;36.05;38.91;42.97;39.75;38.26;39.26;42.21;53.26;59.78;61.44;60.40;61.15;60.28;59.61;61.59;61.46;59.81;59.90;63.47
Lebanon;LBN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;13.76;14.06;14.18;15.60;16.10;16.74;35.05;36.62;35.59;37.14;38.55;33.20;35.02;36.36;28.81;26.65;23.76;23.14;21.73;21.93;20.75;20.56;16.37;26.03
Lesotho;LSO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;51.80;52.00;43.91;41.14;46.94;40.98;37.20;37.07;41.61;44.33;46.03;48.86;44.59;39.72;43.31
Liberia;LBR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Libya;LBY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19.37;20.22;31.56;26.54;44.77;57.32;63.76;63.72;71.84;73.43;74.12;63.24;66.27;38.15;66.87;59.89;32.24;22.23;14.58;27.20;39.61;42.84;;
Liechtenstein;LIE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Lithuania;LTU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;39.13;32.42;38.59;44.10;47.40;46.22;48.77;55.13;57.04;51.64;57.62;51.79;63.94;72.88;78.23;78.67;72.27;68.78;67.59;73.60;75.21;77.32;73.25;80.49
Luxembourg;LUX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;127.70;129.94;147.64;146.20;136.36;132.85;143.73;153.82;167.74;169.58;161.49;147.93;162.71;169.49;171.21;176.38;182.78;191.84;191.10;192.75;197.50;204.32;199.62;211.43
Macao SAR, China;MAC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;74.17;76.19;89.26;91.23;93.26;92.86;94.77;84.39;78.55;78.88;79.69;78.51;87.42;90.34;90.77;90.66;85.64;78.51;76.64;80.44;82.53;82.52;61.53;87.92
Madagascar;MDG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.41;18.35;19.12;20.07;21.82;13.69;19.46;24.32;27.49;27.80;27.71;20.38;21.87;22.72;21.78;23.27;28.28;28.39;29.09;30.90;31.54;28.42;20.14;21.02
Malawi;MWI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Malaysia;MYS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;115.74;121.31;119.81;110.40;108.31;106.94;115.37;112.90;112.19;106.17;99.50;91.42;86.93;85.26;79.30;75.63;73.79;69.45;66.78;70.01;68.55;65.28;61.60;68.84
Maldives;MDV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;91.29;78.36;71.98;72.31;70.11;69.43;49.43;75.30
Mali;MLI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;21.25;20.25;22.48;26.31;28.09;25.77;23.68;22.99;28.43;24.15;25.14;21.71;22.84;22.73;27.86;24.94;22.56;24.04;23.44;22.21;24.52;25.71;30.66;29.59
Malta;MLT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;109.42;111.69;120.25;108.65;113.40;107.52;103.13;103.58;123.40;129.24;148.50;147.02;150.95;160.59;163.12;155.97;149.81;154.62;157.80;154.67;145.22;146.09;152.16;150.74
Marshall Islands;MHL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.71;22.12;28.70;25.36;27.38;30.15;30.28;32.82;25.24;26.21;29.51;27.96;36.27;51.49;55.06;51.41;49.84;44.41;36.69;39.30;39.85;37.19;35.52;46.57
Mauritania;MRT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.46;22.57;25.52;25.54;24.77;19.12;23.27;26.75;42.36;40.52;41.60;37.25;45.74;50.18;48.26;45.55;37.39;30.20;33.93;34.51;36.59;41.58;40.66;39.45
Mauritius;MUS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;65.68;63.80;61.09;67.99;61.61;56.01;53.32;59.02;58.44;55.87;51.07;47.68;51.24;52.44;53.79;52.57;52.52;51.50;49.17;48.16;46.10;44.07;39.37;44.04
Mexico;MEX;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.59;24.63;25.41;22.67;22.55;24.36;25.84;26.23;27.33;27.53;27.70;27.15;29.70;31.04;32.27;31.31;31.87;34.52;37.04;37.65;39.26;38.82;39.48;41.05
Micronesia, Fed. Sts.;FSM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.75;16.46;17.97;19.24;18.08;18.76;15.53;16.72;18.08;22.48;23.32;21.87;23.69;24.71;29.89;30.40;31.83;27.07;27.65;29.96;35.47;31.48;23.75;23.83
Moldova;MDA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45.02;52.32;49.60;50.06;52.46;53.31;51.19;51.16;45.26;45.58;40.82;36.87;27.83;32.54;31.13;32.09;31.17;31.90;32.31;31.10;30.14;30.56;27.14;30.62
Monaco;MCO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Mongolia;MNG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;47.84;50.16;54.00;50.32;50.73;52.35;60.79;58.77;59.44;59.61;54.02;50.28;46.68;52.55;43.57;38.89;52.25;44.18;50.87;59.17;58.16;59.22;57.66;58.55
Montenegro;MNE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;36.81;38.42;35.36;30.61;42.02;43.55;40.56;43.00;39.52;34.33;37.04;42.35;43.67;41.34;40.14;42.12;40.60;41.06;42.88;43.85;26.00;42.83
Morocco;MAR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23.40;25.15;26.79;28.21;28.92;27.50;28.11;30.92;32.76;34.57;35.74;28.00;32.23;34.70;34.93;32.78;30.13;30.00;30.73;32.61;33.83;34.09;30.80;32.93
Mozambique;MOZ;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;9.94;8.86;11.20;18.44;21.29;22.43;25.70;27.10;27.19;27.43;26.52;27.12;28.44;30.10;28.88;26.74;31.28;31.08;33.55;38.58;44.87;32.27;29.59;31.38
Myanmar;MMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;10.62;9.10;6.09;15.82;19.88;20.46;22.98;25.94;28.36;30.39;28.65;28.29
Namibia;NAM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41.37;41.43;40.74;41.06;46.17;43.43;39.80;40.41;45.37;49.86;53.65;51.56;48.28;45.54;40.06;37.50;39.02;35.37;35.01;33.62;35.88;36.40;33.42;31.74
Nauru;NRU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;90.48;83.33;51.85;61.19;71.28;96.88;93.86;70.19;70.80;60.00;57.50;63.86;47.37;40.90
Nepal;NPL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.82;22.85;23.28;22.56;17.74;15.70;16.68;14.58;13.45;12.86;12.78;12.42;9.58;7.81;8.75;9.29;10.12;10.21;8.18;7.81;7.82;7.78;6.81;5.21
Netherlands;NLD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;59.34;59.91;66.03;63.30;60.15;59.28;62.67;65.63;68.18;68.78;69.79;62.24;69.80;75.50;79.50;79.88;80.58;82.66;79.54;83.39;84.68;82.54;78.27;82.98
New Caledonia;NCL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;15.70;18.43;22.78;18.71;18.06;20.61;21.99;21.47;23.89;27.38;18.55;15.40;20.20;20.09;17.76;15.72;18.59;18.07;19.27;21.01;;;;
New Zealand;NZL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29.62;30.95;35.75;35.43;32.85;29.84;29.54;28.29;29.61;29.27;32.08;28.73;30.27;30.40;28.86;28.81;27.98;27.91;26.63;27.56;27.87;27.32;21.92;22.54
Nicaragua;NIC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19.33;18.53;20.11;19.04;18.85;20.70;23.06;24.38;31.27;33.06;34.47;33.98;40.47;45.02;47.47;45.21;45.01;40.08;38.88;41.34;42.28;45.09;42.18;46.84
Niger;NER;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;13.97;12.66;14.34;13.46;11.92;13.27;14.26;14.41;13.87;13.07;13.18;14.98;16.18;15.29;16.10;16.98;15.95;14.27;12.18;13.29;11.84;11.42;10.29;10.28
Nigeria;NGA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.14;21.33;36.02;28.25;23.24;26.75;20.25;21.03;29.52;21.24;25.67;18.63;25.66;31.62;31.55;18.05;18.44;10.67;9.22;13.17;15.50;14.22;8.12;10.74
North Macedonia;MKD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23.27;23.04;32.95;29.20;26.30;27.66;30.70;34.81;37.79;44.12;43.22;32.81;39.79;47.12;45.37;43.40;47.66;48.74;50.66;55.15;60.38;62.41;57.77;66.21
Northern Mariana Islands;MNP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;91.04;90.23;100.66;95.85;83.74;66.84;51.97;39.25;41.93;43.48;50.80;52.07;52.52;52.97;71.71;69.29;50.77;42.05;;
Norway;NOR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36.91;38.60;45.73;44.96;40.37;39.63;41.09;43.40;44.64;43.30;45.92;39.24;39.76;41.27;40.68;39.20;39.00;37.80;35.46;36.33;37.97;36.26;32.25;41.57
Oman;OMN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42.22;49.06;60.34;59.43;58.49;56.98;57.03;63.16;61.53;62.68;64.95;60.50;59.09;63.92;62.72;66.03;61.44;49.65;41.32;45.72;50.62;49.49;47.06;52.53
Pakistan;PAK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.48;15.35;12.12;13.34;13.78;15.17;14.24;14.31;14.13;13.21;12.38;12.40;13.52;13.97;12.40;13.28;12.24;10.60;8.74;8.22;8.58;9.39;9.30;9.06
Palau;PLW;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Panama;PAN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;67.65;56.85;62.01;62.14;57.64;54.34;57.77;64.50;66.17;71.46;78.09;69.81;70.04;78.23;75.19;65.16;55.36;47.68;41.97;41.80;42.79;41.21;39.61;51.06
Papua New Guinea;PNG;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;54.04;63.12;66.18;65.33;60.92;69.42;72.16;;;;;;;;;;;;;;;;;
Paraguay;PRY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;54.64;42.79;43.33;40.64;47.48;47.14;45.69;47.59;46.29;43.37;42.44;38.10;42.14;40.24;38.00;38.71;35.46;34.77;37.17;38.44;36.95;36.18;33.61;35.98
Peru;PER;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;13.70;15.40;16.77;16.60;17.27;19.01;22.91;26.85;30.54;31.52;29.73;26.44;27.83;30.50;27.45;24.81;22.61;21.29;22.60;24.72;25.19;24.04;22.38;29.09
Philippines;PHL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;37.81;38.41;43.34;41.16;40.01;42.31;41.83;41.23;41.25;38.01;33.36;30.22;32.87;29.11;27.47;26.18;27.35;27.21;26.67;29.55;30.21;28.38;25.20;25.74
Poland;POL;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;25.95;24.09;27.19;27.19;28.71;33.35;34.24;34.61;37.82;38.52;37.81;37.14;40.09;42.57;44.28;45.98;46.49;47.45;50.27;52.06;52.75;53.20;52.99;57.91
Portugal;PRT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;27.33;26.48;28.20;27.44;27.07;27.37;27.67;27.08;30.36;31.19;31.26;27.29;30.07;34.45;37.78;39.61;40.22;40.62;40.21;42.72;43.45;43.51;37.05;41.59
Puerto Rico;PRI;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;55.97;60.34;62.34;67.77;65.86;73.74;68.57;67.38;68.88;67.03;68.30;63.09;62.67;64.05;57.45;60.87;60.82;67.19;68.76;68.72;59.95;60.58;60.41;54.37
Qatar;QAT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;51.10;60.04;67.28;65.89;60.34;61.70;64.17;65.09;62.82;60.28;61.36;51.13;62.32;72.62;76.47;72.72;68.00;57.06;47.71;52.89;55.94;52.35;49.12;58.91
Romania;ROU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;23.02;26.66;21.59;22.11;24.01;24.21;25.74;24.54;24.77;24.71;26.16;26.02;31.67;35.27;35.75;40.25;41.48;41.35;42.42;42.33;41.54;40.20;36.88;40.85
Russian Federation;RUS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;31.22;43.22;44.06;36.89;35.21;35.25;34.42;35.20;33.73;30.16;31.31;27.94;29.22;28.06;26.91;25.85;27.11;28.70;25.85;26.09;30.79;28.43;25.58;30.86
Rwanda;RWA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;5.59;5.42;5.38;7.27;6.18;7.78;10.40;10.69;10.89;13.68;11.28;10.37;10.75;12.67;12.00;13.50;13.88;13.24;15.43;20.53;21.10;21.81;19.31;19.06
Samoa;WSM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;34.18;31.10;29.07;28.54;29.61;29.21;27.86;28.00;27.72;28.39;27.93;28.10;27.59;27.14;28.78;29.66;31.97;35.03;29.20;11.69
San Marino;SMR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;174.45;173.07;168.78;166.60;164.00;164.48;
Sao Tome and Principe;STP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Saudi Arabia;SAU;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29.63;34.67;43.41;39.63;40.95;45.85;50.99;57.05;59.83;59.94;62.11;47.09;49.57;56.05;54.27;51.92;46.88;33.32;31.14;34.85;38.57;35.57;26.18;34.77
Senegal;SEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.58;19.00;17.76;17.70;19.62;18.22;19.10;19.81;19.25;20.55;20.85;19.39;19.98;21.30;22.47;22.35;21.78;22.68;21.56;21.93;22.95;24.99;20.67;22.32
Serbia;SRB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.73;10.74;8.78;20.69;20.09;23.15;25.14;27.96;29.44;27.29;28.44;26.35;32.26;33.00;35.84;39.85;42.08;45.18;48.52;50.47;50.43;51.01;48.22;54.48
Seychelles;SYC;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;20.11;23.29;75.47;83.79;77.87;88.88;74.01;78.30;84.37;90.63;101.39;107.99;93.80;95.77;99.33;90.81;98.96;91.13;89.83;99.99;94.92;103.35;65.36;72.31
Sierra Leone;SLE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;14.06;13.83;18.13;7.84;8.55;13.92;16.47;17.57;16.87;15.60;13.52;13.50;16.79;16.27;32.91;28.63;30.76;19.36;24.91;26.19;17.47;18.25;15.09;16.93
Singapore;SGP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;166.79;176.75;188.35;182.89;184.09;202.59;213.95;225.16;228.04;212.78;228.99;190.84;198.00;203.33;196.72;195.08;191.95;178.38;164.77;171.40;176.59;175.27;181.72;184.84
Sint Maarten (Dutch part);SXM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;109.95;113.29;121.35;100.53;97.40;92.50;78.27;67.48;;;
Slovak Republic;SVK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45.52;46.35;53.21;57.12;56.97;62.33;69.05;72.30;81.24;83.38;80.15;68.04;76.56;84.34;90.83;93.44;91.40;91.60;93.47;95.07;95.84;91.90;85.07;93.80
Slovenia;SVN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;47.50;44.11;50.14;51.75;52.32;51.00;55.05;59.81;64.87;67.90;66.31;57.26;64.27;70.25;72.89;74.22;76.15;77.15;77.60;83.13;84.79;83.70;77.74;83.63
Solomon Islands;SLB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;40.53;36.47;27.10;17.54;21.52;22.00;24.88;27.30;27.06;32.15;34.73;29.16;35.15;50.15;49.91;45.93;42.34;40.36;39.73;38.68;42.13;36.50;27.94;25.36
Somalia;SOM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;20.60;20.92;19.46;19.28;17.72;19.11;17.44;17.11;20.08
South Africa;ZAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.52;22.27;24.40;26.36;28.43;23.92;22.76;23.60;26.10;27.96;32.25;24.98;25.78;27.70;27.14;28.38;29.00;27.71;28.16;27.34;27.56;27.30;27.60;31.19
South Sudan;SSD;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;66.03;60.31;61.43;66.08;42.83;9.74;38.39;36.65;;;;;;
Spain;ESP;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;26.10;26.35;28.56;27.86;26.55;25.63;25.41;24.98;25.24;25.98;25.62;23.06;25.95;29.53;31.46;32.95;33.47;33.61;33.86;35.13;35.15;34.91;30.80;34.93
Sri Lanka;LKA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;36.24;35.48;39.02;37.33;34.91;34.65;35.33;32.34;30.13;29.11;24.84;21.33;;;;;;19.89;19.82;20.22;21.45;21.82;15.27;16.85
St. Kitts and Nevis;KNA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
St. Lucia;LCA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
St. Martin (French part);MAF;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
St. Vincent and the Grenadines;VCT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Sudan;SDN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;6.70;7.78;15.98;10.91;11.92;12.78;14.45;14.61;15.29;17.12;20.53;21.77;20.35;15.74;12.07;11.69;0.67;0.73;0.71;0.66;0.61;0.63;0.46;2.25
Suriname;SUR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;52.75;54.12;56.91;44.12;52.55;;;;;;;;;;;
Sweden;SWE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;40.02;40.11;43.26;42.92;41.25;40.33;42.69;45.02;47.49;47.61;49.09;43.45;44.68;45.27;45.03;42.53;43.27;43.77;42.69;43.73;45.68;47.81;43.85;45.49
Switzerland;CHE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;45.99;46.78;51.44;50.20;48.56;47.72;51.30;53.85;56.61;61.55;63.13;58.01;64.84;66.45;67.78;72.07;65.34;63.83;66.82;66.35;67.48;66.97;64.31;71.37
Syrian Arab Republic;SYR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;30.53;32.32;36.12;36.89;39.75;32.21;40.45;41.04;39.01;38.59;37.56;29.06;32.17;19.37;7.71;7.78;7.02;14.29;21.68;19.34;14.92;13.01;14.78;
Tajikistan;TJK;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;48.86;66.10;86.75;68.14;62.81;63.93;58.75;54.24;58.16;45.86;34.01;24.47;14.94;16.45;17.28;11.09;9.17;;;14.93;14.38;14.98;17.32;
Tanzania;TZA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;10.03;10.16;10.81;13.83;14.28;15.09;16.04;16.98;18.41;19.83;19.46;18.19;19.61;21.63;22.37;19.01;18.07;17.10;16.35;15.14;14.74;16.01;14.30;14.33
Thailand;THA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;57.94;56.44;64.84;63.25;60.65;61.52;65.97;68.40;68.68;68.87;71.42;64.44;66.49;70.85;68.95;67.17;68.39;67.64;67.07;66.67;64.84;59.51;51.57;58.21
Timor-Leste;TLS;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;10.61;8.97;7.80;6.87;7.47;7.14;9.23;10.00;9.35;9.17;8.57;6.41;7.12;5.59;4.57;3.04;3.14;2.39;2.92;21.36;36.74;63.89
Togo;TGO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29.69;28.87;28.22;28.96;30.27;32.80;33.29;35.56;35.37;34.21;34.31;35.55;37.84;43.64;45.21;46.48;39.72;35.85;26.91;25.27;23.94;23.06;22.69;23.32
Tonga;TON;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;19.59;15.44;14.27;13.05;18.26;19.39;19.57;17.84;14.56;12.22;15.96;13.62;12.50;16.24;17.07;20.35;16.97;16.96;21.68;22.16;21.41;21.97;20.59;12.52
Trinidad and Tobago;TTO;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Tunisia;TUN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;38.52;37.98;39.73;42.82;40.78;39.48;42.20;44.93;46.03;51.08;55.65;45.04;47.96;46.05;45.91;44.89;42.57;38.40;38.30;41.72;45.49;45.95;37.95;42.13
Turkiye;TUR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;20.67;18.81;19.88;27.18;25.11;23.01;23.62;21.88;22.39;21.89;23.57;23.37;21.19;22.99;24.36;23.79;25.21;24.53;23.08;26.04;31.15;32.53;28.73;35.30
Turkmenistan;TKM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;29.72;35.68;55.24;41.49;35.41;32.61;29.69;30.69;35.12;36.78;57.37;47.08;45.90;59.80;58.83;49.84;46.78;35.68;22.15;22.47;22.66;;;
Turks and Caicos Islands;TCA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Tuvalu;TUV;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;;;;;;;;;;;;
Uganda;UGA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;9.64;12.25;10.65;11.52;11.21;11.39;12.70;14.18;15.28;16.73;24.28;18.61;13.82;12.86;15.49;16.51;14.95;12.88;12.43;16.66;15.09;17.11;15.41;15.78
Ukraine;UKR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;41.89;53.70;60.30;50.65;50.12;52.54;58.70;47.73;43.22;41.29;43.26;42.93;46.46;49.41;47.38;42.90;48.59;52.60;49.30;48.12;45.24;41.23;38.82;40.75
United Arab Emirates;ARE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;49.16;49.50;55.92;63.57;67.59;68.63;72.38;78.87;79.65;82.24;90.08;97.63;98.01;96.92;97.56;97.66;98.34;91.99;96.66;95.93;
United Kingdom;GBR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.43;24.28;25.62;25.52;24.44;23.97;23.98;25.18;27.43;25.42;27.31;26.63;28.56;31.09;30.37;30.05;28.39;27.63;28.65;30.67;31.23;31.26;29.24;27.95
United States;USA;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;10.52;10.31;10.69;9.70;9.13;9.04;9.63;9.98;10.64;11.46;12.43;10.93;12.34;13.56;13.64;13.58;13.55;12.46;11.94;12.26;12.36;11.87;10.20;10.89
Uruguay;URY;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;16.42;15.10;16.70;16.80;20.62;27.43;32.11;30.40;30.30;29.09;30.20;27.10;26.34;26.42;25.92;23.35;23.54;22.48;26.95;26.15;26.40;27.75;25.08;31.48
Uzbekistan;UZB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;22.56;18.18;24.66;29.68;30.92;38.24;41.79;37.81;36.51;39.67;41.17;34.66;24.28;23.67;19.27;18.63;16.04;13.77;12.33;20.75;26.96;28.42;24.29;23.74
Vanuatu;VUT;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;42.29;37.38;39.18;37.96;42.31;43.28;45.60;45.38;41.27;41.59;46.48;50.56;48.72;45.61;51.31;51.68;51.43;46.03;48.87;47.66;47.22;50.35;16.71;9.86
Venezuela, RB;VEN;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;20.92;22.91;29.74;22.74;30.43;33.85;36.20;39.66;36.52;31.13;30.82;18.07;28.53;29.94;26.17;24.76;16.69;;;;;;;
Vietnam;VNM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;44.85;49.97;53.92;55.06;54.74;56.67;59.73;63.70;67.72;70.52;70.34;62.61;54.18;61.18;63.47;66.80;69.60;72.92;74.11;81.76;84.42;85.16;84.38;93.29
Virgin Islands (U.S.);VIR;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;147.42;189.37;226.60;262.69;283.90;295.59;433.84;255.11;299.38;340.30;80.17;67.55;78.37;41.63;47.02;63.34;53.14;55.02;38.56;
West Bank and Gaza;PSE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;18.05;17.60;20.52;15.38;13.44;12.98;12.97;14.11;13.77;18.33;15.94;14.02;14.12;16.09;15.33;15.62;15.82;16.06;14.33;15.72;15.96;15.52;15.36;17.63
Yemen, Rep.;YEM;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;;;;;;;;;;;;;30.00;30.34;24.86;22.36;21.48;18.32;5.98;8.71;6.06;;;
Zambia;ZMB;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;24.62;25.04;23.92;25.11;27.13;25.68;33.54;30.61;32.59;33.59;28.92;29.25;37.03;40.47;40.08;40.48;38.82;37.14;35.32;34.99;37.96;34.64;46.79;52.08
Zimbabwe;ZWE;Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;43.39;37.41;38.16;34.96;31.83;32.40;34.47;33.55;35.96;37.79;41.47;19.48;29.64;34.80;25.16;21.99;20.93;19.16;19.94;19.66;26.16;27.16;25.92;25.41
